layer_1,,
5.95,0.0,12.0
-5.95,0.0,12.0
5.95,0.0,24.0
-5.95,0.0,24.0
5.95,0.0,36.0
-5.95,0.0,36.0
5.95,0.0,48.0
-5.95,0.0,48.0
5.95,0.0,60.0
-5.95,0.0,60.0
5.95,0.0,72.0
-5.95,0.0,72.0
5.95,0.0,84.0
-5.95,0.0,84.0
5.95,0.0,96.0
-5.95,0.0,96.0
5.95,0.0,108.0
-5.95,0.0,108.0
5.95,0.0,120.0
-5.95,0.0,120.0
5.95,0.0,132.0
-5.95,0.0,132.0
5.95,0.0,144.0
-5.95,0.0,144.0
5.95,0.0,156.0
-5.95,0.0,156.0
5.95,0.0,168.0
-5.95,0.0,168.0
5.95,0.0,180.0
-5.95,0.0,180.0
5.95,0.0,192.0
-5.95,0.0,192.0
